"mirna","log2FC","logCPM","p_value","fdr","significant"
"hsa-miR-3194-3p",0.964115503845112,8.67699295829105,2.36540635158754e-172,3.79160724004474e-171,TRUE
"hsa-miR-150-3p",-0.884998939295457,8.58911448554838,9.85223361232035e-172,1.53413351963274e-170,TRUE
"hsa-miR-1913",-0.642511174832944,9.08002515811756,2.76187270409615e-168,4.18116839925667e-167,TRUE
"hsa-miR-6805-5p",-1.70504340212859,12.4889623834196,4.46325513759988e-168,6.57425418916739e-167,TRUE
"hsa-miR-2467-3p",1.33391996699429,9.13465980035456,1.19704739222852e-165,1.71681797043301e-164,TRUE
"hsa-miR-3141",-0.751155644833713,10.0204748968585,3.3346836171109e-164,4.66000659314216e-163,TRUE
"hsa-miR-1915-3p",-1.6849292380645,11.8544694338752,9.56436611852907e-162,1.30314488364959e-160,TRUE
"hsa-miR-4467",-0.883956831868149,12.3868928276276,3.2771046035795e-159,4.35615124134348e-158,TRUE
"hsa-miR-1909-3p",-0.828315522725397,10.7580485889449,2.25581149811588e-158,2.92718396779323e-157,TRUE
"hsa-miR-6729-5p",-1.61780083520785,14.2442168638546,6.20399575607977e-156,7.86320392340343e-155,TRUE
"hsa-miR-7975",0.804100224263075,9.61015994003876,4.25276170646991e-151,5.16542403570206e-150,TRUE
"hsa-miR-3648",-1.44017635499032,13.8535588621728,4.26502902030445e-151,5.16542403570206e-150,TRUE
"hsa-miR-4454",1.5478062564819,10.6202434678875,3.94710571196616e-148,4.67646220222078e-147,TRUE
"hsa-miR-1254",-0.599253745504191,8.92501826605673,5.68673147154295e-144,6.59418862125725e-143,TRUE
"hsa-miR-1185-2-3p",0.831377903421486,9.60062918122241,3.01333452944756e-142,3.42139024697691e-141,TRUE
"hsa-miR-4707-3p",-0.63026911441323,9.32002387639147,4.56349443490729e-142,5.07572340209077e-141,TRUE
"hsa-miR-658",0.713628442115068,8.56337060276641,1.78613704665441e-135,1.94688938085331e-134,TRUE
"hsa-miR-6890-5p",0.493999632960294,8.45204801346147,1.08355719768197e-134,1.15791896615034e-133,FALSE
"hsa-miR-8069",-1.58524844819796,13.8444021574938,3.90510630802196e-132,4.09285180359994e-131,TRUE
"hsa-miR-4787-5p",-1.17386665036958,14.965669040071,4.26449272230898e-129,4.385185912563e-128,TRUE
"hsa-miR-6875-5p",-0.737583602653801,11.0633080472613,2.8292486991187e-127,2.85544544633276e-126,TRUE
"hsa-miR-4419b",0.540886481930182,8.89675919948527,7.19462859429943e-127,7.1292228798058e-126,TRUE
"hsa-miR-8072",-1.26564744932606,14.5137500533273,2.71056592588264e-125,2.63796148143935e-124,TRUE
"hsa-miR-3131",-0.699764118073183,9.51425183622697,1.33239144289131e-124,1.27395322171187e-123,TRUE
"hsa-miR-6850-5p",-1.18587148035548,12.9187439337917,6.15734491465151e-123,5.78578099738805e-122,TRUE
"hsa-miR-6806-5p",-0.584833641738286,9.17247424879525,1.89967580007236e-120,1.75478527294819e-119,TRUE
"hsa-miR-6785-5p",-0.908633576503967,10.6412863150976,3.60946946104356e-120,3.27860142711456e-119,TRUE
"hsa-miR-6836-3p",-0.949988029473474,9.95443258182924,4.16475481445414e-120,3.72096946537296e-119,TRUE
"hsa-miR-3652",-0.544585204160489,8.78208684985378,4.28607248455419e-120,3.76759597432586e-119,TRUE
"hsa-miR-1910-5p",-0.599216491663718,8.35928575213289,3.72134938324242e-118,3.21926256169384e-117,TRUE
"hsa-miR-8059",0.803107251069775,10.6287419911672,1.84704864764148e-115,1.5728773640072e-114,TRUE
"hsa-miR-4741",-0.771747556303984,11.2269885275847,2.52864059732825e-115,2.12016788545215e-114,TRUE
"hsa-miR-3184-5p",-0.760699972696346,9.55596920937088,1.53102488795434e-113,1.26425539990169e-112,TRUE
"hsa-miR-637",0.443489266270728,8.65187122640647,1.23963768226707e-111,1.00836199527695e-110,FALSE
"hsa-miR-4730",-1.29160188361617,10.9573840433193,5.13578398011731e-111,4.11617980759402e-110,TRUE
"hsa-miR-4294",-1.14543467167067,12.136810322935,1.92759188665462e-109,1.52251822931416e-108,TRUE
"hsa-miR-1249-3p",-1.37120151964046,8.3401457008519,1.88373343556817e-108,1.46662103197808e-107,TRUE
"hsa-miR-3616-3p",-0.506079371519873,8.71340377847373,2.0484036893236e-108,1.57236621222727e-107,TRUE
"hsa-miR-6765-5p",-1.15316201344857,12.3566920095491,8.62174658193032e-108,6.52618317660003e-107,TRUE
"hsa-miR-187-5p",-0.707552282811045,9.98092681190759,2.28633147141922e-105,1.70691870126504e-104,TRUE
"hsa-miR-1193",-0.558221181764853,8.61275904603602,8.78640221284626e-104,6.47106649459623e-103,TRUE
"hsa-miR-6732-5p",-0.814871811120972,10.3483426660038,9.2749915624342e-104,6.73982720203552e-103,TRUE
"hsa-miR-3180",-0.85454020440824,10.5561932863228,2.88940012460668e-103,2.07200403672453e-102,TRUE
"hsa-miR-4322",0.550085111721528,8.4508000101932,1.06216129945094e-102,7.51789491169822e-102,TRUE
